indeks nazwa x y
575 GALERIA_DOMINIKAŃSKA 51.1085 17.0387
576 Domaszczyn-Dębowa 51.1963 17.1521
577 Smocza 51.1034 17.1547
578 PL._STASZICA 51.1225 17.0303
579 Ołtaszyn 51.0565 17.025
580 PL._DANIŁOWSKIEGO 51.1385 17.0586
581 Radwanice_-_Szkoła 51.0486 17.1155
582 Bałtycka 51.1378 17.0302
583 Zajazdowa 51.1481 16.8654
584 Partyzantów 51.1063 17.094
585 Domaszczyn-Trzebnicka 51.1888 17.1512
586 Broniewskiego 51.1359 17.0353
587 Zagony 51.1005 16.9416
588 ROD_Bajki 51.0825 17.0344
589 Łukaszowice 51.0158 17.0928
590 Góra_Kapliczna 51.1515 16.9929
591 Ślęza_(ul._Pszenna_-_autostrada) 51.0429 16.9913
592 Słowiańska 51.124 17.0427
593 Serbska_(C.K._Agora) 51.1338 17.0194
594 Dworska 51.1436 16.9534
595 BARDZKA 51.0835 17.0493
596 Bzowa_(Centrum_Zajezdnia) 51.0977 16.9931
597 Glinianki 51.1381 16.935
598 CENTRUM_HURTU_UL._GIEŁDOWA 51.0681 16.9695
599 Kasprowicza 51.1374 17.0529
600 Dmowskiego 51.1165 17.0248
601 Wzgórze_Partyzantów 51.1043 17.0374
602 LITOMSKA_(ZUS) 51.1199 17.0101
603 SZYMANÓW 51.1941 17.0188
604 Muchobór_Wielki_(Roślinna) 51.1023 16.9442
605 Solskiego 51.0812 16.9677
606 Wejherowska 51.1295 16.9866
607 PL._GRUNWALDZKI 51.1111 17.0612
608 Park_Brochowski 51.0633 17.0749
609 Aleja_Pracy 51.0919 16.9854
610 JERZMANOWSKA_(pętla) 51.1273 16.9025
611 Solskiego 51.0818 16.9687
612 Wschowska 51.1452 16.8802
613 Ratyń_-_skrzyżowanie 51.13 16.8467
614 BARDZKA 51.0828 17.0508
615 Prudnicka 51.09 17.0447
616 Stalowa 51.0997 17.0015
617 Gądowianka 51.1192 16.9711
618 Ojca_Beyzyma 51.0904 16.9924
619 GAJ 51.0769 17.0419
620 Godzieszowa 51.2416 17.131
621 Złotnicka 51.1433 16.889
622 Świeradowska 51.077 17.0462
623 STADION_WROCŁAW_(Królewiecka) 51.145 16.9479
624 ŚLAZOWA_(pętla) 51.1526 16.9961
